ID,condition,Competence,Immersion,Flow,Tension,Challenge,NegAff,PosAff
02JO85,g,5.0,3.0,4.2,1.0,1.8,1.25,5.0
02JO85,s,5.0,2.3333333333333335,3.4,1.0,1.8,2.0,5.0
07az26,g,4.4,4.666666666666667,3.8,1.0,3.2,1.75,5.0
07az26,s,4.4,2.1666666666666665,2.6,2.3333333333333335,1.8,3.0,3.0
08MA21,g,4.2,3.5,3.2,1.6666666666666667,3.0,2.0,4.2
08MA21,s,4.2,2.6666666666666665,4.2,1.0,2.4,1.75,4.2
09HA13,g,5.0,4.666666666666667,5.0,1.0,2.2,1.25,4.8
09HA13,s,5.0,3.6666666666666665,4.6,1.0,1.0,1.25,4.6
10PE77,g,4.4,3.1666666666666665,3.8,1.0,1.2,1.5,4.0
10PE77,s,4.0,3.0,3.6,1.0,2.0,2.0,3.4
11LK66,g,3.8,1.1666666666666667,2.6,1.0,1.0,1.25,2.2
11LK66,s,4.4,1.3333333333333333,2.8,1.0,1.0,1.25,3.0
15JO96,g,3.6,3.0,2.2,1.0,1.4,1.25,4.0
15JO96,s,3.2,1.6666666666666667,2.6,1.0,1.2,1.5,2.6
17BE17,g,3.0,2.1666666666666665,1.6,1.6666666666666667,1.8,1.75,3.0
17BE17,s,4.4,1.6666666666666667,2.4,1.0,1.0,2.0,2.6
17HE69,g,3.8,2.6666666666666665,4.0,2.0,3.0,1.75,4.0
17HE69,s,3.8,1.6666666666666667,3.4,2.0,2.6,1.75,3.2
19RA95,g,4.0,3.6666666666666665,2.6,1.6666666666666667,1.4,1.5,4.0
19RA95,s,4.0,2.1666666666666665,2.6,1.6666666666666667,1.2,1.75,3.8
21EL67,g,4.0,4.0,2.6,1.0,1.8,1.25,4.8
21EL67,s,5.0,3.0,2.6,1.0,1.2,1.25,5.0
27JA04,g,4.2,3.6666666666666665,3.0,1.0,2.6,1.75,3.8
27JA04,s,4.0,2.5,3.0,1.0,2.2,1.75,3.6
28CO38,g,3.8,3.3333333333333335,2.6,1.0,1.4,1.5,4.0
28CO38,s,2.8,1.0,1.8,1.0,2.0,2.75,3.6
29MA29,g,4.0,4.5,3.2,1.0,2.8,2.0,4.8
29MA29,s,3.8,4.333333333333333,3.4,1.3333333333333333,3.0,1.75,4.4
2BR68,g,2.6,2.6666666666666665,2.4,2.0,2.0,2.5,2.8
2BR68,s,2.6,2.3333333333333335,1.6,1.6666666666666667,1.4,2.25,3.0
2MA07,g,3.8,3.8333333333333335,4.0,1.3333333333333333,3.6,2.25,3.4
2MA07,s,3.8,2.5,3.4,2.0,3.4,2.5,3.0
