ID,condition,Competence,Immersion,Flow,Tension,Challenge,NegAff,PosAff,PosExp,NegExp,Tiredness,Returning
02JO85,g,5.0,3.0,4.2,1.0,1.8,1.25,5.0,4.666666666666667,1.0,1.0,1.3333333333333333
02JO85,s,5.0,2.333333333333333,3.4,1.0,1.8,2.0,5.0,4.333333333333333,1.0,1.0,1.0
07az26,g,4.4,4.666666666666667,3.8,1.0,3.2,1.75,5.0,4.0,1.1666666666666667,4.0,2.6666666666666665
07az26,s,4.4,2.1666666666666665,2.6,2.333333333333333,1.8,3.0,3.0,3.0,1.1666666666666667,2.0,1.3333333333333333
08MA21,g,4.2,3.5,3.2,1.6666666666666667,3.0,2.0,4.2,3.5,1.0,3.0,2.0
08MA21,s,4.2,2.6666666666666665,4.2,1.0,2.4,1.75,4.2,3.1666666666666665,1.1666666666666667,2.0,1.0
09HA13,g,5.0,4.666666666666667,5.0,1.0,2.2,1.25,4.8,4.833333333333333,1.0,1.0,1.6666666666666667
09HA13,s,5.0,3.6666666666666665,4.6,1.0,1.0,1.25,4.6,4.5,1.0,1.0,2.0
10PE77,g,4.4,3.1666666666666665,3.8,1.0,1.2,1.5,4.0,3.8333333333333335,1.0,1.0,1.6666666666666667
10PE77,s,4.0,3.0,3.6,1.0,2.0,2.0,3.4,3.0,1.0,2.0,1.0
11LK66,g,3.8,1.1666666666666667,2.6,1.0,1.0,1.25,2.2,1.1666666666666667,1.1666666666666667,1.0,1.0
11LK66,s,4.4,1.3333333333333333,2.8,1.0,1.0,1.25,3.0,2.0,1.0,1.0,1.0
15JO96,g,3.6,3.0,2.2,1.0,1.4,1.25,4.0,2.5,1.1666666666666667,1.0,1.3333333333333333
15JO96,s,3.2,1.6666666666666667,2.6,1.0,1.2,1.5,2.6,1.6666666666666667,1.1666666666666667,1.0,1.0
17BE17,g,3.0,2.1666666666666665,1.6,1.6666666666666667,1.8,1.75,3.0,2.833333333333333,1.0,1.0,1.0
17BE17,s,4.4,1.6666666666666667,2.4,1.0,1.0,2.0,2.6,1.6666666666666667,1.0,1.0,1.0
17HE69,g,3.8,2.6666666666666665,4.0,2.0,3.0,1.75,4.0,3.0,2.1666666666666665,1.5,2.0
17HE69,s,3.8,1.6666666666666667,3.4,2.0,2.6,1.75,3.2,2.833333333333333,1.8333333333333333,1.5,1.3333333333333333
19RA95,g,4.0,3.6666666666666665,2.6,1.6666666666666667,1.4,1.5,4.0,3.1666666666666665,1.0,1.0,2.0
19RA95,s,4.0,2.1666666666666665,2.6,1.6666666666666667,1.2,1.75,3.8,3.0,1.0,1.0,1.0
21EL67,g,4.0,4.0,2.6,1.0,1.8,1.25,4.8,3.1666666666666665,1.0,1.5,2.333333333333333
21EL67,s,5.0,3.0,2.6,1.0,1.2,1.25,5.0,3.8333333333333335,1.0,1.0,1.3333333333333333
27JA04,g,4.2,3.6666666666666665,3.0,1.0,2.6,1.75,3.8,3.0,1.0,1.0,1.6666666666666667
27JA04,s,4.0,2.5,3.0,1.0,2.2,1.75,3.6,2.5,1.0,1.0,1.0
28CO38,g,3.8,3.333333333333333,2.6,1.0,1.4,1.5,4.0,2.333333333333333,1.0,1.0,1.3333333333333333
28CO38,s,2.8,1.0,1.8,1.0,2.0,2.75,3.6,1.3333333333333333,1.0,1.0,1.0
29MA29,g,4.0,4.5,3.2,1.0,2.8,2.0,4.8,3.333333333333333,1.0,1.5,1.6666666666666667
29MA29,s,3.8,4.333333333333333,3.4,1.3333333333333333,3.0,1.75,4.4,3.5,1.0,1.5,2.0
2BR68,g,2.6,2.6666666666666665,2.4,2.0,2.0,2.5,2.8,2.1666666666666665,1.1666666666666667,2.5,2.333333333333333
2BR68,s,2.6,2.333333333333333,1.6,1.6666666666666667,1.4,2.25,3.0,2.1666666666666665,1.5,2.0,1.6666666666666667
2MA07,g,3.8,3.8333333333333335,4.0,1.3333333333333333,3.6,2.25,3.4,3.1666666666666665,1.0,4.0,2.333333333333333
2MA07,s,3.8,2.5,3.4,2.0,3.4,2.5,3.0,3.6666666666666665,1.3333333333333333,2.0,2.0
