ID,Accuracy_1,Accuracy_2,diff
02JO85,0.7272727272727273,0.7419354838709677,-0.014662756598240456
07az26,0.78125,0.6216216216216216,0.1596283783783784
09HA13,0.7741935483870968,0.7058823529411765,0.06831119544592024
10PE77,0.7058823529411765,0.5609756097560976,0.1449067431850789
17HE69,0.8,0.5714285714285714,0.22857142857142865
19RA95,0.55,0.4615384615384615,0.08846153846153854
27JA04,0.6875,0.8571428571428571,-0.1696428571428571
28CO38,0.7931034482758621,0.6,0.19310344827586212
08MA21,0.5,0.71875,-0.21875
11LK66,0.8888888888888888,0.7741935483870968,0.11469534050179209
15JO96,0.7058823529411765,0.631578947368421,0.0743034055727555
17BE17,0.6470588235294118,0.5833333333333334,0.06372549019607843
21EL67,0.631578947368421,0.696969696969697,-0.065390749601276
29MA29,0.7,0.96,-0.26
2BR68,0.6052631578947368,0.7058823529411765,-0.10061919504643968
2MA07,0.6153846153846154,0.7419354838709677,-0.12655086848635233
