ID,condition,PosExp,NegExp,Tiredness,Returning
02JO85,g,4.666666666666667,1.0,1.0,1.3333333333333333
02JO85,s,4.333333333333333,1.0,1.0,1.0
07az26,g,4.0,1.1666666666666667,4.0,2.6666666666666665
07az26,s,3.0,1.1666666666666667,2.0,1.3333333333333333
08MA21,g,3.5,1.0,3.0,2.0
08MA21,s,3.1666666666666665,1.1666666666666667,2.0,1.0
09HA13,g,4.833333333333333,1.0,1.0,1.6666666666666667
09HA13,s,4.5,1.0,1.0,2.0
10PE77,g,3.8333333333333335,1.0,1.0,1.6666666666666667
10PE77,s,3.0,1.0,2.0,1.0
11LK66,g,1.1666666666666667,1.1666666666666667,1.0,1.0
11LK66,s,2.0,1.0,1.0,1.0
15JO96,g,2.5,1.1666666666666667,1.0,1.3333333333333333
15JO96,s,1.6666666666666667,1.1666666666666667,1.0,1.0
17BE17,g,2.8333333333333335,1.0,1.0,1.0
17BE17,s,1.6666666666666667,1.0,1.0,1.0
17HE69,g,3.0,2.1666666666666665,1.5,2.0
17HE69,s,2.8333333333333335,1.8333333333333333,1.5,1.3333333333333333
19RA95,g,3.1666666666666665,1.0,1.0,2.0
19RA95,s,3.0,1.0,1.0,1.0
21EL67,g,3.1666666666666665,1.0,1.5,2.3333333333333335
21EL67,s,3.8333333333333335,1.0,1.0,1.3333333333333333
27JA04,g,3.0,1.0,1.0,1.6666666666666667
27JA04,s,2.5,1.0,1.0,1.0
28CO38,g,2.3333333333333335,1.0,1.0,1.3333333333333333
28CO38,s,1.3333333333333333,1.0,1.0,1.0
29MA29,g,3.3333333333333335,1.0,1.5,1.6666666666666667
29MA29,s,3.5,1.0,1.5,2.0
2BR68,g,2.1666666666666665,1.1666666666666667,2.5,2.3333333333333335
2BR68,s,2.1666666666666665,1.5,2.0,1.6666666666666667
2MA07,g,3.1666666666666665,1.0,4.0,2.3333333333333335
2MA07,s,3.6666666666666665,1.3333333333333333,2.0,2.0
