ID,Accuracy,PlaceInOrder,condition
02JO85,0.7419354838709677,2,standard
07az26,0.6216216216216216,2,standard
08MA21,0.5,1,standard
09HA13,0.7058823529411765,2,standard
10PE77,0.5609756097560976,2,standard
11LK66,0.8888888888888888,1,standard
15JO96,0.7058823529411765,1,standard
17BE17,0.6470588235294118,1,standard
17HE69,0.5714285714285714,2,standard
19RA95,0.46153846153846156,2,standard
21EL67,0.631578947368421,1,standard
27JA04,0.8571428571428571,2,standard
28CO38,0.6,2,standard
29MA29,0.7,1,standard
2BR68,0.6052631578947368,1,standard
2MA07,0.6153846153846154,1,standard
